
Name                                                   AppID                                                                                   
----                                                   -----                                                                                   
Firefox                                                308046B0AF4A39CB                                                                        
Firefox Private Browsing                               308046B0AF4A39CB;PrivateBrowsingAUMID                                                   
Brave                                                  Brave                                                                                   
MinGW Installation Manager                             C:\MinGW\libexec\mingw-get\guimain.exe                                                  
Python 3.10 (64-bit)                                   C:\Users\sapta\AppData\Local\Programs\Python\Python310\python.exe                       
Google Chrome                                          Chrome                                                                                  
GitHub                                                 Chrome._crx_mjoklplbddpnokjaffbmgbkkgg                                                  
Microsoft Teams (work or school)                       com.squirrel.Teams.Teams                                                                
ExpressVPN                                             ExpressVpn.ExpressVpnNotificationService                                                
Reference Documentation                                http://docs.oracle.com/javase/19/index.html                                             
Git FAQs (Frequently Asked Questions)                  https://github.com/git-for-windows/git/wiki/FAQ                                         
Agoda                                                  https://js.redirect.hp.com/jumpstation?bd=agoda&c=222&locale=*&pf=*&tp=startmenu2&TYPE=3
Git Bash                                               Microsoft.AutoGenerated.{0FDD9C6B-656B-0F1F-AB08-B1CDBB7067B3}                          
Adobe offers                                           Microsoft.AutoGenerated.{24CA97EF-E1B8-C6B1-DFA3-9E060AB1C3D4}                          
Git CMD                                                Microsoft.AutoGenerated.{29591C0F-7C09-B655-C0EB-8544FCA7D1DE}                          
RPG                                                    Microsoft.AutoGenerated.{44DEB866-53E4-166B-0E03-6187DD269CFA}                          
Daily Hidden Object                                    Microsoft.AutoGenerated.{498FC6D9-5EE8-BBF6-79A1-6AA9C69473B7}                          
Python 3.10 Module Docs (64-bit)                       Microsoft.AutoGenerated.{49DF22B4-ECFA-0921-0E1D-CA75A59F0A0B}                          
Solitaire with Themes                                  Microsoft.AutoGenerated.{4BAE7E6D-6182-BEE8-9333-EA15F7C41FA4}                          
Python 3.10 Manuals (64-bit)                           Microsoft.AutoGenerated.{514A1E11-8A65-10E1-0EB5-F9CE182D9D34}                          
Free Games by wild                                     Microsoft.AutoGenerated.{68115C01-EA60-B1F4-4471-B198F82197BF}                          
IDLE (Python 3.10 64-bit)                              Microsoft.AutoGenerated.{7258EB8F-2FFC-C72F-ADF7-6E3A0780BB6F}                          
Time Management Games                                  Microsoft.AutoGenerated.{7548051F-431B-FC1C-9A2B-97722171C4E9}                          
Strategy Games                                         Microsoft.AutoGenerated.{775ACE6E-9C85-BE5A-8CA8-FDD41F633DF1}                          
New Games                                              Microsoft.AutoGenerated.{7FB305A3-0ED0-92D5-C6BF-074E9708D908}                          
Vegas World                                            Microsoft.AutoGenerated.{83E147C6-D740-F5CF-B039-EA33456EDDCF}                          
Performance Monitor                                    Microsoft.AutoGenerated.{8AA47365-B2B3-1961-69EB-F866E376B12F}                          
Computer Management                                    Microsoft.AutoGenerated.{8ABD94FB-E7D6-84A6-A997-C918EDDE0AE5}                          
Task Manager                                           Microsoft.AutoGenerated.{923DD477-5846-686B-A659-0FCCD73851A8}                          
LastPass                                               Microsoft.AutoGenerated.{9A85046E-FF4E-F1E1-C529-7471D0B917A9}                          
Mahjongg Candy                                         Microsoft.AutoGenerated.{9B918B58-316B-3AE1-4C24-EF14079F8A18}                          
Mahjong Games                                          Microsoft.AutoGenerated.{9EB35F99-80D0-124A-45A8-70C026A106EA}                          
HP Documentation                                       Microsoft.AutoGenerated.{A2B50ED5-21D5-2A4E-FCE4-55D461ED80B3}                          
Mahjongg Solitaire                                     Microsoft.AutoGenerated.{A558D5BD-919E-E804-35E9-A6110938B312}                          
Event Viewer                                           Microsoft.AutoGenerated.{BB044BFD-25B7-2FAA-22A8-6371A93E0456}                          
Hidden Object Games                                    Microsoft.AutoGenerated.{C1B742BF-24ED-2168-C837-1DDB1258BD82}                          
Task Scheduler                                         Microsoft.AutoGenerated.{C1C6F8AC-40A3-0F5C-146F-65A9DC70BBB4}                          
Resource Monitor                                       Microsoft.AutoGenerated.{C804BBA7-FA5F-CBF7-8B55-2096E5F972CB}                          
